month_year,population_group,moved_to_housing,actively_homeless,ageunder16,population_group_percentage,percentage_of_under_16,percentage_moved_to_housing
Jan-21,All Population,346,7829,619,100,7.9,4.4
Jan-21,Chronic,209,3550,203,45.3,5.7,5.9
Jan-21,Refugees,107,995,219,12.7,22,10.8
Jan-21,Families,154,1239,601,15.8,48.5,12.4
Jan-21,Youth,35,752,0,9.6,0,4.7
Jan-21,Single Adult,157,5838,0,74.6,0,2.7
Jan-21,Non-refugees,239,6834,400,87.3,5.9,3.5
Jan-21,Indigenous,12,895,6,11.4,0.7,1.3
Feb-21,All Population,297,7871,609,100,7.7,3.8
Feb-21,Chronic,169,3601,220,45.8,6.1,4.7
Feb-21,Refugees,67,996,223,12.7,22.4,6.7
Feb-21,Families,125,1221,590,15.5,48.3,10.2
Feb-21,Youth,45,743,0,9.4,0,6.1
Feb-21,Single Adult,127,5907,0,75,0,2.1
Feb-21,Non-refugees,230,6875,386,87.3,5.6,3.3
Feb-21,Indigenous,35,927,5,11.8,0.5,3.8
Mar-21,All Population,341,7745,584,100,7.5,4.4
Mar-21,Chronic,186,3615,222,46.7,6.1,5.1
Mar-21,Refugees,80,961,227,12.4,23.6,8.3
Mar-21,Families,124,1165,570,15,48.9,10.6
Mar-21,Youth,52,735,0,9.5,0,7.1
Mar-21,Single Adult,165,5845,0,75.5,0,2.8
Mar-21,Non-refugees,261,6784,357,87.6,5.3,3.8
Mar-21,Indigenous,25,912,3,11.8,0.3,2.7
Apr-21,All Population,268,7516,573,100,7.6,3.6
Apr-21,Chronic,165,3627,217,48.3,6,4.5
Apr-21,Refugees,45,939,223,12.5,23.7,4.8
Apr-21,Families,91,1157,559,15.4,48.3,7.9
Apr-21,Youth,29,771,0,10.3,0,3.8
Apr-21,Single Adult,148,5588,0,74.3,0,2.6
Apr-21,Non-refugees,223,6577,350,87.5,5.3,3.4
Apr-21,Indigenous,18,861,4,11.5,0.5,2.1
May-21,All Population,278,7575,569,100,7.5,3.7
May-21,Chronic,159,3739,230,49.4,6.2,4.3
May-21,Refugees,46,939,220,12.4,23.4,4.9
May-21,Families,95,1173,562,15.5,47.9,8.1
May-21,Youth,33,769,0,10.2,0,4.3
May-21,Single Adult,150,5633,0,74.4,0,2.7
May-21,Non-refugees,232,6636,349,87.6,5.3,3.5
May-21,Indigenous,14,888,7,11.7,0.8,1.6
Jun-21,All Population,253,8037,618,100,7.7,3.1
Jun-21,Chronic,152,3840,226,47.8,5.9,4
Jun-21,Refugees,62,998,244,12.4,24.4,6.2
Jun-21,Families,97,1276,611,15.9,47.9,7.6
Jun-21,Youth,24,826,0,10.3,0,2.9
Jun-21,Single Adult,132,5935,0,73.8,0,2.2
Jun-21,Non-refugees,191,7039,374,87.6,5.3,2.7
Jun-21,Indigenous,24,936,3,11.6,0.3,2.6
Jul-21,All Population,284,8322,673,100,8.1,3.4
Jul-21,Chronic,162,3904,247,46.9,6.3,4.1
Jul-21,Refugees,65,1014,258,12.2,25.4,6.4
Jul-21,Families,96,1356,671,16.3,49.5,7.1
Jul-21,Youth,45,829,0,10,0,5.4
Jul-21,Single Adult,143,6137,2,73.7,0,2.3
Jul-21,Non-refugees,219,7308,415,87.8,5.7,3
Jul-21,Indigenous,25,972,5,11.7,0.5,2.6
Aug-21,All Population,306,8479,701,100,8.3,3.6
Aug-21,Chronic,175,3915,237,46.2,6.1,4.5
Aug-21,Refugees,89,995,254,11.7,25.5,8.9
Aug-21,Families,138,1378,686,16.3,49.8,10
Aug-21,Youth,28,823,0,9.7,0,3.4
Aug-21,Single Adult,140,6278,0,74,0,2.2
Aug-21,Non-refugees,217,7484,447,88.3,6,2.9
Aug-21,Indigenous,17,1002,5,11.8,0.5,1.7
Sep-21,All Population,255,8760,787,100,9,2.9
Sep-21,Chronic,129,3958,230,45.2,5.8,3.3
Sep-21,Refugees,53,1149,312,13.1,27.2,4.6
Sep-21,Families,91,1548,772,17.7,49.9,5.9
Sep-21,Youth,42,842,0,9.6,0,5
Sep-21,Single Adult,122,6370,0,72.7,0,1.9
Sep-21,Non-refugees,202,7611,475,86.9,6.2,2.7
Sep-21,Indigenous,18,1026,8,11.7,0.8,1.8
Oct-21,All Population,270,8992,847,100,9.4,3
Oct-21,Chronic,137,4010,237,44.6,5.9,3.4
Oct-21,Refugees,65,1301,364,14.5,28,5
Oct-21,Families,104,1700,839,18.9,49.4,6.1
Oct-21,Youth,38,861,0,9.6,0,4.4
Oct-21,Single Adult,128,6431,0,71.5,0,2
Oct-21,Non-refugees,205,7691,483,85.5,6.3,2.7
Oct-21,Indigenous,26,1053,6,11.7,0.6,2.5
Nov-21,All Population,250,9199,849,100,9.2,2.7
Nov-21,Chronic,144,4131,231,44.9,5.6,3.5
Nov-21,Refugees,65,1349,362,14.7,26.8,4.8
Nov-21,Families,136,1754,846,19.1,48.2,7.8
Nov-21,Youth,29,855,0,9.3,0,3.4
Nov-21,Single Adult,85,6590,0,71.6,0,1.3
Nov-21,Non-refugees,185,7850,487,85.3,6.2,2.4
Nov-21,Indigenous,14,1070,6,11.6,0.6,1.3
Dec-21,All Population,261,9255,901,100,9.7,2.8
Dec-21,Chronic,151,4258,269,46,6.3,3.5
Dec-21,Refugees,73,1530,415,16.5,27.1,4.8
Dec-21,Families,125,1827,888,19.7,48.6,6.8
Dec-21,Youth,24,850,0,9.2,0,2.8
Dec-21,Single Adult,112,6578,0,71.1,0,1.7
Dec-21,Non-refugees,188,7725,486,83.5,6.3,2.4
Dec-21,Indigenous,19,1043,5,11.3,0.5,1.8
